asset,date_time,component,guid,path,filename
F09,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F09.jpeg,20250707-F09.jpeg
F11,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F11.jpeg,20250707-F11.jpeg
F12,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F12.jpeg,20250707-F12.jpeg
F13,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F13.jpeg,20250707-F13.jpeg
F14,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F14.jpeg,20250707-F14.jpeg
F15,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F15.jpeg,20250707-F15.jpeg
F51,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F51.jpeg,20250707-F51.jpeg
F52,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F52.jpeg,20250707-F52.jpeg
F53,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F53.jpeg,20250707-F53.jpeg
F61,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F61.jpeg,20250707-F61.jpeg
F62,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F62.jpeg,20250707-F62.jpeg
F63,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F63.jpeg,20250707-F63.jpeg
F64,2025-07-07 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250707-F64.jpeg,20250707-F64.jpeg
F02,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F02.jpeg,20250708-F02.jpeg
F03,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F03.jpeg,20250708-F03.jpeg
F04,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F04.jpeg,20250708-F04.jpeg
F05,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F05.jpeg,20250708-F05.jpeg
F06,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F06.jpeg,20250708-F06.jpeg
F08,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F08.jpeg,20250708-F08.jpeg
F09,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F09.jpeg,20250708-F09.jpeg
F11,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F11.jpeg,20250708-F11.jpeg
F12,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F12.jpeg,20250708-F12.jpeg
F13,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F13.jpeg,20250708-F13.jpeg
F14,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F14.jpeg,20250708-F14.jpeg
F15,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F15.jpeg,20250708-F15.jpeg
F51,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F51.jpeg,20250708-F51.jpeg
F52,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F52.jpeg,20250708-F52.jpeg
F53,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F53.jpeg,20250708-F53.jpeg
F61,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F61.jpeg,20250708-F61.jpeg
F62,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F62.jpeg,20250708-F62.jpeg
F63,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F63.jpeg,20250708-F63.jpeg
F64,2025-07-08 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250708-F64.jpeg,20250708-F64.jpeg
F02,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F02.jpeg,20250709-F02.jpeg
F03,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F03.jpeg,20250709-F03.jpeg
F04,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F04.jpeg,20250709-F04.jpeg
F05,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F05.jpeg,20250709-F05.jpeg
F06,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F06.jpeg,20250709-F06.jpeg
F07,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F07.jpeg,20250709-F07.jpeg
F08,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F08.jpeg,20250709-F08.jpeg
F09,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F09.jpeg,20250709-F09.jpeg
F11,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F11.jpeg,20250709-F11.jpeg
F12,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F12.jpeg,20250709-F12.jpeg
F13,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F13.jpeg,20250709-F13.jpeg
F14,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F14.jpeg,20250709-F14.jpeg
F15,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F15.jpeg,20250709-F15.jpeg
F51,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F51.jpeg,20250709-F51.jpeg
F52,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F52.jpeg,20250709-F52.jpeg
F53,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F53.jpeg,20250709-F53.jpeg
F61,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F61.jpeg,20250709-F61.jpeg
F62,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F62.jpeg,20250709-F62.jpeg
F63,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F63.jpeg,20250709-F63.jpeg
F64,2025-07-09 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250709-F64.jpeg,20250709-F64.jpeg
F02,2025-07-10 00:00:00,,,C:\Falcker\cloud\falcker\AI\OlieDetectie\Willem_set\Alles\20250710-F02.jpeg,20250710-F02.jpeg
